"date","partner","sector_group","values"
2021-07-01,"US","Traditional & Basic",29690
2021-07-01,"VN","High-Tech & Strategic",11924
2021-07-01,"VN","Traditional & Basic",11691
2021-08-01,"CN_X_HK","High-Tech & Strategic",192964
2021-08-01,"CN_X_HK","Traditional & Basic",124570
2021-08-01,"EU27_2020_NEA20","High-Tech & Strategic",177159
2021-08-01,"EU27_2020_NEA20","Traditional & Basic",111033
2021-08-01,"US","High-Tech & Strategic",104256
2021-08-01,"US","Traditional & Basic",29220
2021-08-01,"VN","High-Tech & Strategic",14819
2021-08-01,"VN","Traditional & Basic",12341
2021-09-01,"CN_X_HK","High-Tech & Strategic",215895
2021-09-01,"CN_X_HK","Traditional & Basic",133505
2021-09-01,"EU27_2020_NEA20","High-Tech & Strategic",224409
2021-09-01,"EU27_2020_NEA20","Traditional & Basic",130790
2021-09-01,"US","High-Tech & Strategic",116294
2021-09-01,"US","Traditional & Basic",29082
2021-09-01,"VN","High-Tech & Strategic",15390
2021-09-01,"VN","Traditional & Basic",12055
2021-10-01,"CN_X_HK","High-Tech & Strategic",211114
2021-10-01,"CN_X_HK","Traditional & Basic",124936
2021-10-01,"EU27_2020_NEA20","High-Tech & Strategic",228754
2021-10-01,"EU27_2020_NEA20","Traditional & Basic",135319
2021-10-01,"US","High-Tech & Strategic",105647
2021-10-01,"US","Traditional & Basic",28797
2021-10-01,"VN","High-Tech & Strategic",14008
2021-10-01,"VN","Traditional & Basic",9397
2021-11-01,"CN_X_HK","High-Tech & Strategic",241857
2021-11-01,"CN_X_HK","Traditional & Basic",137797
2021-11-01,"EU27_2020_NEA20","High-Tech & Strategic",255281
2021-11-01,"EU27_2020_NEA20","Traditional & Basic",141838
2021-11-01,"US","High-Tech & Strategic",111427
2021-11-01,"US","Traditional & Basic",31625
2021-11-01,"VN","High-Tech & Strategic",17431
2021-11-01,"VN","Traditional & Basic",10869
2021-12-01,"CN_X_HK","High-Tech & Strategic",268153
2021-12-01,"CN_X_HK","Traditional & Basic",136048
2021-12-01,"EU27_2020_NEA20","High-Tech & Strategic",236470
2021-12-01,"EU27_2020_NEA20","Traditional & Basic",125773
2021-12-01,"US","High-Tech & Strategic",116434
2021-12-01,"US","Traditional & Basic",30574
2021-12-01,"VN","High-Tech & Strategic",15508
2021-12-01,"VN","Traditional & Basic",11246
2022-01-01,"CN_X_HK","High-Tech & Strategic",257848
2022-01-01,"CN_X_HK","Traditional & Basic",148849
2022-01-01,"EU27_2020_NEA20","High-Tech & Strategic",232967
2022-01-01,"EU27_2020_NEA20","Traditional & Basic",126231
2022-01-01,"US","High-Tech & Strategic",108755
2022-01-01,"US","Traditional & Basic",30850
2022-01-01,"VN","High-Tech & Strategic",15853
2022-01-01,"VN","Traditional & Basic",13788
2022-02-01,"CN_X_HK","High-Tech & Strategic",221344
2022-02-01,"CN_X_HK","Traditional & Basic",128354
2022-02-01,"EU27_2020_NEA20","High-Tech & Strategic",244767
2022-02-01,"EU27_2020_NEA20","Traditional & Basic",133158
2022-02-01,"US","High-Tech & Strategic",116616
2022-02-01,"US","Traditional & Basic",28546
2022-02-01,"VN","High-Tech & Strategic",13338
2022-02-01,"VN","Traditional & Basic",12537
2022-03-01,"CN_X_HK","High-Tech & Strategic",275235
2022-03-01,"CN_X_HK","Traditional & Basic",145352
2022-03-01,"EU27_2020_NEA20","High-Tech & Strategic",279414
2022-03-01,"EU27_2020_NEA20","Traditional & Basic",159558
2022-03-01,"US","High-Tech & Strategic",132260
2022-03-01,"US","Traditional & Basic",36863
2022-03-01,"VN","High-Tech & Strategic",16550
2022-03-01,"VN","Traditional & Basic",14750
2022-04-01,"CN_X_HK","High-Tech & Strategic",259868
2022-04-01,"CN_X_HK","Traditional & Basic",118831
2022-04-01,"EU27_2020_NEA20","High-Tech & Strategic",250375
2022-04-01,"EU27_2020_NEA20","Traditional & Basic",137941
2022-04-01,"US","High-Tech & Strategic",120369
2022-04-01,"US","Traditional & Basic",32266
2022-04-01,"VN","High-Tech & Strategic",15132
2022-04-01,"VN","Traditional & Basic",15846
2022-05-01,"CN_X_HK","High-Tech & Strategic",297907
2022-05-01,"CN_X_HK","Traditional & Basic",132184
2022-05-01,"EU27_2020_NEA20","High-Tech & Strategic",271918
2022-05-01,"EU27_2020_NEA20","Traditional & Basic",151925
2022-05-01,"US","High-Tech & Strategic",142116
2022-05-01,"US","Traditional & Basic",38475
2022-05-01,"VN","High-Tech & Strategic",15493
2022-05-01,"VN","Traditional & Basic",17258
2022-06-01,"CN_X_HK","High-Tech & Strategic",294937
2022-06-01,"CN_X_HK","Traditional & Basic",136793
2022-06-01,"EU27_2020_NEA20","High-Tech & Strategic",277025
2022-06-01,"EU27_2020_NEA20","Traditional & Basic",150684
2022-06-01,"US","High-Tech & Strategic",141106
2022-06-01,"US","Traditional & Basic",37547
2022-06-01,"VN","High-Tech & Strategic",15446
2022-06-01,"VN","Traditional & Basic",18500
2022-07-01,"CN_X_HK","High-Tech & Strategic",256270
2022-07-01,"CN_X_HK","Traditional & Basic",148359
2022-07-01,"EU27_2020_NEA20","High-Tech & Strategic",253609
2022-07-01,"EU27_2020_NEA20","Traditional & Basic",135732
2022-07-01,"US","High-Tech & Strategic",119155
2022-07-01,"US","Traditional & Basic",32847
2022-07-01,"VN","High-Tech & Strategic",14300
2022-07-01,"VN","Traditional & Basic",16934
2022-08-01,"CN_X_HK","High-Tech & Strategic",285980
2022-08-01,"CN_X_HK","Traditional & Basic",173419
2022-08-01,"EU27_2020_NEA20","High-Tech & Strategic",238314
2022-08-01,"EU27_2020_NEA20","Traditional & Basic",131300
2022-08-01,"US","High-Tech & Strategic",138919
2022-08-01,"US","Traditional & Basic",38897
2022-08-01,"VN","High-Tech & Strategic",20126
2022-08-01,"VN","Traditional & Basic",18639
2022-09-01,"CN_X_HK","High-Tech & Strategic",305203
2022-09-01,"CN_X_HK","Traditional & Basic",171777
2022-09-01,"EU27_2020_NEA20","High-Tech & Strategic",299319
2022-09-01,"EU27_2020_NEA20","Traditional & Basic",152279
2022-09-01,"US","High-Tech & Strategic",154916
2022-09-01,"US","Traditional & Basic",38036
2022-09-01,"VN","High-Tech & Strategic",18657
2022-09-01,"VN","Traditional & Basic",18659
2022-10-01,"CN_X_HK","High-Tech & Strategic",286277
2022-10-01,"CN_X_HK","Traditional & Basic",152601
2022-10-01,"EU27_2020_NEA20","High-Tech & Strategic",293879
2022-10-01,"EU27_2020_NEA20","Traditional & Basic",149621
2022-10-01,"US","High-Tech & Strategic",146972
2022-10-01,"US","Traditional & Basic",37965
2022-10-01,"VN","High-Tech & Strategic",21557
2022-10-01,"VN","Traditional & Basic",20129
2022-11-01,"CN_X_HK","High-Tech & Strategic",287893
2022-11-01,"CN_X_HK","Traditional & Basic",137033
2022-11-01,"EU27_2020_NEA20","High-Tech & Strategic",310345
2022-11-01,"EU27_2020_NEA20","Traditional & Basic",154897
2022-11-01,"US","High-Tech & Strategic",155520
2022-11-01,"US","Traditional & Basic",41668
2022-11-01,"VN","High-Tech & Strategic",19908
2022-11-01,"VN","Traditional & Basic",17538
2022-12-01,"CN_X_HK","High-Tech & Strategic",235585
2022-12-01,"CN_X_HK","Traditional & Basic",116939
2022-12-01,"EU27_2020_NEA20","High-Tech & Strategic",266531
2022-12-01,"EU27_2020_NEA20","Traditional & Basic",129638
2022-12-01,"US","High-Tech & Strategic",134741
2022-12-01,"US","Traditional & Basic",35154
2022-12-01,"VN","High-Tech & Strategic",12376
2022-12-01,"VN","Traditional & Basic",15440
2023-01-01,"CN_X_HK","High-Tech & Strategic",256566
2023-01-01,"CN_X_HK","Traditional & Basic",125899
2023-01-01,"EU27_2020_NEA20","High-Tech & Strategic",284082
2023-01-01,"EU27_2020_NEA20","Traditional & Basic",138363
2023-01-01,"US","High-Tech & Strategic",148390
2023-01-01,"US","Traditional & Basic",35100
2023-01-01,"VN","High-Tech & Strategic",18717
2023-01-01,"VN","Traditional & Basic",16214
2023-02-01,"CN_X_HK","High-Tech & Strategic",221768
2023-02-01,"CN_X_HK","Traditional & Basic",107492
2023-02-01,"EU27_2020_NEA20","High-Tech & Strategic",291171
2023-02-01,"EU27_2020_NEA20","Traditional & Basic",142100
2023-02-01,"US","High-Tech & Strategic",124629
2023-02-01,"US","Traditional & Basic",35099
2023-02-01,"VN","High-Tech & Strategic",16307
2023-02-01,"VN","Traditional & Basic",15042
2023-03-01,"CN_X_HK","High-Tech & Strategic",243650
2023-03-01,"CN_X_HK","Traditional & Basic",102623
2023-03-01,"EU27_2020_NEA20","High-Tech & Strategic",330123
2023-03-01,"EU27_2020_NEA20","Traditional & Basic",161585
2023-03-01,"US","High-Tech & Strategic",166865
2023-03-01,"US","Traditional & Basic",41612
2023-03-01,"VN","High-Tech & Strategic",15632
2023-03-01,"VN","Traditional & Basic",15170
2023-04-01,"CN_X_HK","High-Tech & Strategic",229606
2023-04-01,"CN_X_HK","Traditional & Basic",103496
2023-04-01,"EU27_2020_NEA20","High-Tech & Strategic",278465
2023-04-01,"EU27_2020_NEA20","Traditional & Basic",132323
2023-04-01,"US","High-Tech & Strategic",138159
2023-04-01,"US","Traditional & Basic",36516
2023-04-01,"VN","High-Tech & Strategic",15077
2023-04-01,"VN","Traditional & Basic",12322
2023-05-01,"CN_X_HK","High-Tech & Strategic",250985
2023-05-01,"CN_X_HK","Traditional & Basic",115885
2023-05-01,"EU27_2020_NEA20","High-Tech & Strategic",311491
2023-05-01,"EU27_2020_NEA20","Traditional & Basic",145744
2023-05-01,"US","High-Tech & Strategic",142552
2023-05-01,"US","Traditional & Basic",39004
2023-05-01,"VN","High-Tech & Strategic",14175
2023-05-01,"VN","Traditional & Basic",15042
2023-06-01,"CN_X_HK","High-Tech & Strategic",235275
2023-06-01,"CN_X_HK","Traditional & Basic",119719
2023-06-01,"EU27_2020_NEA20","High-Tech & Strategic",321129
2023-06-01,"EU27_2020_NEA20","Traditional & Basic",146265
2023-06-01,"US","High-Tech & Strategic",151553
2023-06-01,"US","Traditional & Basic",40116
2023-06-01,"VN","High-Tech & Strategic",13857
2023-06-01,"VN","Traditional & Basic",14661
2023-07-01,"CN_X_HK","High-Tech & Strategic",221867
2023-07-01,"CN_X_HK","Traditional & Basic",124276
2023-07-01,"EU27_2020_NEA20","High-Tech & Strategic",272511
2023-07-01,"EU27_2020_NEA20","Traditional & Basic",131631
2023-07-01,"US","High-Tech & Strategic",134239
2023-07-01,"US","Traditional & Basic",35058
2023-07-01,"VN","High-Tech & Strategic",18066
2023-07-01,"VN","Traditional & Basic",17172
