freq,stk_flow,indic_et,partner,sitc06,geo,TIME_PERIOD,values
M,IMP,TRD_VAL,US,SITC7,EA20,2020-07-01,5280.3
M,IMP,TRD_VAL,US,SITC8,EA20,2020-07-01,1748.1
M,IMP,TRD_VAL,VN,SITC5,EA20,2020-07-01,19.5
M,IMP,TRD_VAL,VN,SITC6,EA20,2020-07-01,190.9
M,IMP,TRD_VAL,VN,SITC7,EA20,2020-07-01,1321.8
M,IMP,TRD_VAL,VN,SITC8,EA20,2020-07-01,882.5
M,IMP,TRD_VAL,CN_X_HK,SITC5,EA20,2020-08-01,1262.7
M,IMP,TRD_VAL,CN_X_HK,SITC6,EA20,2020-08-01,3490.4
M,IMP,TRD_VAL,CN_X_HK,SITC7,EA20,2020-08-01,12969.1
M,IMP,TRD_VAL,CN_X_HK,SITC8,EA20,2020-08-01,6718
M,IMP,TRD_VAL,EU27_2020_NEA20,SITC5,EA20,2020-08-01,3018.6
M,IMP,TRD_VAL,EU27_2020_NEA20,SITC6,EA20,2020-08-01,4720.4
M,IMP,TRD_VAL,EU27_2020_NEA20,SITC7,EA20,2020-08-01,14111
M,IMP,TRD_VAL,EU27_2020_NEA20,SITC8,EA20,2020-08-01,5000.4
M,IMP,TRD_VAL,US,SITC5,EA20,2020-08-01,3221.5
M,IMP,TRD_VAL,US,SITC6,EA20,2020-08-01,672.3
M,IMP,TRD_VAL,US,SITC7,EA20,2020-08-01,5145.9
M,IMP,TRD_VAL,US,SITC8,EA20,2020-08-01,1742.9
M,IMP,TRD_VAL,VN,SITC5,EA20,2020-08-01,16.8
M,IMP,TRD_VAL,VN,SITC6,EA20,2020-08-01,127.3
M,IMP,TRD_VAL,VN,SITC7,EA20,2020-08-01,1613.9
M,IMP,TRD_VAL,VN,SITC8,EA20,2020-08-01,827
M,IMP,TRD_VAL,CN_X_HK,SITC5,EA20,2020-09-01,1393.1
M,IMP,TRD_VAL,CN_X_HK,SITC6,EA20,2020-09-01,3807.1
M,IMP,TRD_VAL,CN_X_HK,SITC7,EA20,2020-09-01,14309.8
M,IMP,TRD_VAL,CN_X_HK,SITC8,EA20,2020-09-01,7271.1
M,IMP,TRD_VAL,EU27_2020_NEA20,SITC5,EA20,2020-09-01,3483
M,IMP,TRD_VAL,EU27_2020_NEA20,SITC6,EA20,2020-09-01,5541
M,IMP,TRD_VAL,EU27_2020_NEA20,SITC7,EA20,2020-09-01,18877.3
M,IMP,TRD_VAL,EU27_2020_NEA20,SITC8,EA20,2020-09-01,5857
M,IMP,TRD_VAL,US,SITC5,EA20,2020-09-01,3944
M,IMP,TRD_VAL,US,SITC6,EA20,2020-09-01,826.6
M,IMP,TRD_VAL,US,SITC7,EA20,2020-09-01,5864.1
M,IMP,TRD_VAL,US,SITC8,EA20,2020-09-01,2321.6
M,IMP,TRD_VAL,VN,SITC5,EA20,2020-09-01,21.2
M,IMP,TRD_VAL,VN,SITC6,EA20,2020-09-01,140
M,IMP,TRD_VAL,VN,SITC7,EA20,2020-09-01,1547.2
M,IMP,TRD_VAL,VN,SITC8,EA20,2020-09-01,817.4
M,IMP,TRD_VAL,CN_X_HK,SITC5,EA20,2020-10-01,1344
M,IMP,TRD_VAL,CN_X_HK,SITC6,EA20,2020-10-01,3347
M,IMP,TRD_VAL,CN_X_HK,SITC7,EA20,2020-10-01,15011.7
M,IMP,TRD_VAL,CN_X_HK,SITC8,EA20,2020-10-01,6763.9
M,IMP,TRD_VAL,EU27_2020_NEA20,SITC5,EA20,2020-10-01,3586.6
M,IMP,TRD_VAL,EU27_2020_NEA20,SITC6,EA20,2020-10-01,5726.2
M,IMP,TRD_VAL,EU27_2020_NEA20,SITC7,EA20,2020-10-01,19804.3
M,IMP,TRD_VAL,EU27_2020_NEA20,SITC8,EA20,2020-10-01,6002.1
M,IMP,TRD_VAL,US,SITC5,EA20,2020-10-01,3963.1
M,IMP,TRD_VAL,US,SITC6,EA20,2020-10-01,750.8
M,IMP,TRD_VAL,US,SITC7,EA20,2020-10-01,5222.4
M,IMP,TRD_VAL,US,SITC8,EA20,2020-10-01,2002.3
M,IMP,TRD_VAL,VN,SITC5,EA20,2020-10-01,19.3
M,IMP,TRD_VAL,VN,SITC6,EA20,2020-10-01,170.8
M,IMP,TRD_VAL,VN,SITC7,EA20,2020-10-01,1452
M,IMP,TRD_VAL,VN,SITC8,EA20,2020-10-01,739.1
M,IMP,TRD_VAL,CN_X_HK,SITC5,EA20,2020-11-01,1494
M,IMP,TRD_VAL,CN_X_HK,SITC6,EA20,2020-11-01,3177.8
M,IMP,TRD_VAL,CN_X_HK,SITC7,EA20,2020-11-01,17349.8
M,IMP,TRD_VAL,CN_X_HK,SITC8,EA20,2020-11-01,5993.2
M,IMP,TRD_VAL,EU27_2020_NEA20,SITC5,EA20,2020-11-01,3699.8
M,IMP,TRD_VAL,EU27_2020_NEA20,SITC6,EA20,2020-11-01,5734.5
M,IMP,TRD_VAL,EU27_2020_NEA20,SITC7,EA20,2020-11-01,20878.7
M,IMP,TRD_VAL,EU27_2020_NEA20,SITC8,EA20,2020-11-01,6023.6
M,IMP,TRD_VAL,US,SITC5,EA20,2020-11-01,4071.6
M,IMP,TRD_VAL,US,SITC6,EA20,2020-11-01,774.9
M,IMP,TRD_VAL,US,SITC7,EA20,2020-11-01,5627.2
M,IMP,TRD_VAL,US,SITC8,EA20,2020-11-01,1872.8
M,IMP,TRD_VAL,VN,SITC5,EA20,2020-11-01,17.6
M,IMP,TRD_VAL,VN,SITC6,EA20,2020-11-01,135.4
M,IMP,TRD_VAL,VN,SITC7,EA20,2020-11-01,1342.8
M,IMP,TRD_VAL,VN,SITC8,EA20,2020-11-01,676.1
M,IMP,TRD_VAL,CN_X_HK,SITC5,EA20,2020-12-01,1595.7
M,IMP,TRD_VAL,CN_X_HK,SITC6,EA20,2020-12-01,2943.2
M,IMP,TRD_VAL,CN_X_HK,SITC7,EA20,2020-12-01,16441.4
M,IMP,TRD_VAL,CN_X_HK,SITC8,EA20,2020-12-01,5625.1
M,IMP,TRD_VAL,EU27_2020_NEA20,SITC5,EA20,2020-12-01,3483.2
M,IMP,TRD_VAL,EU27_2020_NEA20,SITC6,EA20,2020-12-01,4875.7
M,IMP,TRD_VAL,EU27_2020_NEA20,SITC7,EA20,2020-12-01,18809.7
M,IMP,TRD_VAL,EU27_2020_NEA20,SITC8,EA20,2020-12-01,5390.9
M,IMP,TRD_VAL,US,SITC5,EA20,2020-12-01,3596.6
M,IMP,TRD_VAL,US,SITC6,EA20,2020-12-01,717.8
M,IMP,TRD_VAL,US,SITC7,EA20,2020-12-01,5278.1
M,IMP,TRD_VAL,US,SITC8,EA20,2020-12-01,1879.8
M,IMP,TRD_VAL,VN,SITC5,EA20,2020-12-01,18.1
M,IMP,TRD_VAL,VN,SITC6,EA20,2020-12-01,142.8
M,IMP,TRD_VAL,VN,SITC7,EA20,2020-12-01,1152.7
M,IMP,TRD_VAL,VN,SITC8,EA20,2020-12-01,707.8
M,IMP,TRD_VAL,CN_X_HK,SITC5,EA20,2021-01-01,1619.8
M,IMP,TRD_VAL,CN_X_HK,SITC6,EA20,2021-01-01,3470.3
M,IMP,TRD_VAL,CN_X_HK,SITC7,EA20,2021-01-01,15592.8
M,IMP,TRD_VAL,CN_X_HK,SITC8,EA20,2021-01-01,6574.7
M,IMP,TRD_VAL,EU27_2020_NEA20,SITC5,EA20,2021-01-01,3317.5
